"2023-05-21 18:36:29",29.35,"mph","media/images/speed-20230520-2319/speed-29-20230521-1836299.jpg",109,4,22,23,506,"L2R",",None,"
"2023-05-21 18:38:32",50.43,"mph","media/images/speed-20230520-2319/speed-50-20230521-1838321.jpg",138,12,24,17,408,"R2L",",None,"
"2023-05-21 18:49:00",29.43,"mph","media/images/speed-20230520-2319/speed-29-20230521-1849007.jpg",85,23,35,23,805,"L2R",",None,"
"2023-05-21 18:50:46",27.09,"mph","media/images/speed-20230520-2319/speed-27-20230521-1850469.jpg",74,29,29,17,493,"L2R",",None,"
"2023-05-21 18:52:58",31.23,"mph","media/images/speed-20230520-2319/speed-31-20230521-1852587.jpg",30,28,34,22,748,"R2L",",None,"
"2023-05-21 18:56:11",29.32,"mph","media/images/speed-20230520-2319/speed-29-20230521-1856115.jpg",63,24,31,23,713,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:02:55",31.39,"mph","media/images/speed-20230520-2319/speed-31-20230521-1902557.jpg",94,24,29,21,609,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:04:53",14.64,"mph","media/images/speed-20230520-2319/speed-15-20230521-1904530.jpg",81,30,29,20,580,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:07:15",24.97,"mph","media/images/speed-20230520-2319/speed-25-20230521-1907152.jpg",42,27,42,22,924,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:09:10",38.81,"mph","media/images/speed-20230520-2319/speed-39-20230521-1909104.jpg",101,25,27,19,513,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:11:08",21.02,"mph","media/images/speed-20230520-2319/speed-21-20230521-1911082.jpg",62,28,35,19,665,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:17:25",18.83,"mph","media/images/speed-20230520-2319/speed-19-20230521-1917254.jpg",64,31,27,19,513,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:18:36",14.93,"mph","media/images/speed-20230520-2319/speed-15-20230521-1918363.jpg",49,32,24,18,432,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:19:51",12.76,"mph","media/images/speed-20230520-2319/speed-13-20230521-1919514.jpg",80,28,24,22,528,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:20:18",11.70,"mph","media/images/speed-20230520-2319/speed-12-20230521-1920188.jpg",82,29,27,21,567,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:20:37",15.75,"mph","media/images/speed-20230520-2319/speed-16-20230521-1920377.jpg",73,28,23,22,506,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:20:52",14.15,"mph","media/images/speed-20230520-2319/speed-14-20230521-1920522.jpg",91,29,29,21,609,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:21:09",12.42,"mph","media/images/speed-20230520-2319/speed-12-20230521-1921091.jpg",71,31,28,19,532,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:21:44",13.07,"mph","media/images/speed-20230520-2319/speed-13-20230521-1921445.jpg",83,27,22,23,506,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:21:59",13.50,"mph","media/images/speed-20230520-2319/speed-14-20230521-1921591.jpg",90,27,18,23,414,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:23:03",33.66,"mph","media/images/speed-20230520-2319/speed-34-20230521-1923034.jpg",98,26,30,18,540,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:28:35",32.79,"mph","media/images/speed-20230520-2319/speed-33-20230521-1928354.jpg",94,29,31,18,558,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:34:28",37.50,"mph","media/images/speed-20230520-2319/speed-37-20230521-1934281.jpg",21,31,31,19,589,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:37:10",33.68,"mph","media/images/speed-20230520-2319/speed-34-20230521-1937104.jpg",98,26,29,20,580,"L2R",",1733 Parsonage Rd,"
"2023-05-21 19:37:28",26.67,"mph","media/images/speed-20230520-2319/speed-27-20230521-1937286.jpg",34,29,28,18,504,"R2L",",1733 Parsonage Rd,"
"2023-05-21 19:38:32",33.73,"mph","media/images/speed-20230520-2319/speed-34-20230521-1938323.jpg",35,31,26,19,494,"R2L",",1733 Parsonage Rd,"
